19:52:17  $GNGLL,215.034.547,S,432.258.357,W,195217.00,A,A*7D
19:52:17  $GNGGA,195217.00,215.034.547,S,432.258.357,W,1,7,1.26,777.5,M,-6.9,M,,*5A
19:52:18  $GNRMC,195218.00,A,215.034.536,S,432.258.373,W,0.098,,100123,,,A*6B
19:52:18  $GNVTG,,T,,M,0.098,N,0.181,K,A*34
19:52:18  $GNGSA,A,3,31,1,8,3,,,,,,,,,2.46,1.26,2.12*10
19:52:18  $GNGSA,A,3,87,88,81,,,,,,,,,,2.46,1.26,2.12*1E
19:52:18  $GPGSV,2,1,5,1,46,216,31,3,23,228,30,8,25,324,31,21,73,237,09*72
19:52:18  $GPGSV,2,2,5,31,51,96,30*46
19:52:18  $GLGSV,2,1,7,75,18,110,20,76,21,52,26,77,3,10,,81,46,226,29*6D
19:52:18  $GLGSV,2,2,7,82,2,205,,87,18,10,32,88,61,334,34*5F
19:52:18  $GNGLL,215.034.536,S,432.258.373,W,195218.00,A,A*72
19:52:18  $GNGGA,195218.00,215.034.536,S,432.258.373,W,1,7,1.26,778.1,M,-6.9,M,,*5E
19:52:19  $GNRMC,195219.00,A,215.034.521,S,432.258.387,W,0.018,,100123,,,A*6F
19:52:19  $GNVTG,,T,,M,0.018,N,0.034,K,A*33
19:52:19  $GNGSA,A,3,31,1,8,3,,,,,,,,,2.46,1.26,2.12*10
19:52:19  $GNGSA,A,3,87,88,81,,,,,,,,,,2.46,1.26,2.12*1E
19:52:19  $GPGSV,2,1,5,1,46,216,31,3,23,228,30,8,25,324,31,21,73,237,09*72
19:52:19  $GPGSV,2,2,5,31,51,96,30*46
19:52:19  $GLGSV,2,1,7,75,18,110,19,76,21,52,26,77,3,10,,81,46,226,29*67
19:52:19  $GLGSV,2,2,7,82,2,205,,87,18,10,33,88,61,334,34*5E
19:52:19  $GNGLL,215.034.521,S,432.258.387,W,195219.00,A,A*7E
19:52:19  $GNGGA,195219.00,215.034.521,S,432.258.387,W,1,7,1.26,779.0,M,-6.9,M,,*52
19:52:20  $GNRMC,195220.00,A,215.034.510,S,432.258.396,W,0.049,,100123,,,A*63
19:52:20  $GNVTG,,T,,M,0.049,N,0.091,K,A*38
19:52:20  $GNGSA,A,3,31,1,8,21,3,,,,,,,,2.17,1.24,1.78*1A
19:52:20  $GNGSA,A,3,87,88,81,,,,,,,,,,2.17,1.24,1.78*17
