19:52:59  $GNGGA,195259.00,2150.34430,S,04322.58711,W,1,08,1.26,791.6,M,-6.9,M,,*53
19:53:00  $GNGGA,195300.00,2150.34432,S,04322.58704,W,1,08,1.24,791.5,M,-6.9,M,,*59
19:53:01  $GNGGA,195301.00,2150.34434,S,04322.58695,W,1,08,1.24,791.3,M,-6.9,M,,*51
19:53:02  $GNGGA,195302.00,2150.34434,S,04322.58692,W,5,08,1.24,791.2,M,-6.9,M,,*54
19:53:03  $GNGGA,195303.00,2150.34435,S,04322.58688,W,5,08,1.24,791.1,M,-6.9,M,,*5C
19:53:04  $GNGGA,195304.00,2150.34438,S,04322.58681,W,5,08,1.24,790.9,M,-6.9,M,,*56
19:53:05  $GNGGA,195305.00,2150.34440,S,04322.58675,W,5,08,1.24,790.7,M,-6.9,M,,*5D
19:53:06  $GNGGA,195306.00,2150.34456,S,04322.58630,W,5,08,1.24,790.7,M,-6.9,M,,*58
19:53:07  $GNGGA,195307.00,2150.34453,S,04322.58630,W,5,09,1.06,790.7,M,-6.9,M,,*5D
19:53:08  $GNGGA,195308.00,2150.34452,S,04322.58625,W,4,09,1.06,790.5,M,-6.9,M,,*55
19:53:09  $GNGGA,195309.00,2150.34450,S,04322.58622,W,4,09,1.06,790.1,M,-6.9,M,,*55
19:53:10  $GNGGA,195310.00,2150.34445,S,04322.58621,W,4,09,1.06,789.8,M,-6.9,M,,*5B
19:53:11  $GNGGA,195311.00,2150.34438,S,04322.58626,W,4,09,1.06,789.6,M,-6.9,M,,*59
19:53:12  $GNGGA,195312.00,2150.34431,S,04322.58631,W,4,09,1.07,789.4,M,-6.9,M,,*56
19:53:13  $GNGGA,195313.00,2150.34427,S,04322.58633,W,1,09,1.07,789.4,M,-6.9,M,,*52
19:53:14  $GNGGA,195314.00,2150.34421,S,04322.58639,W,1,09,1.07,789.5,M,-6.9,M,,*58
19:53:15  $GNGGA,195315.00,2150.34417,S,04322.58640,W,4,09,1.06,789.3,M,-6.9,M,,*55
19:53:16  $GNGGA,195316.00,2150.34416,S,04322.58638,W,4,09,1.06,789.4,M,-6.9,M,,*5F
19:53:17  $GNGGA,195317.00,2150.34413,S,04322.58636,W,4,09,1.06,789.3,M,-6.9,M,,*52
19:53:18  $GNGGA,195318.00,2150.34404,S,04322.58639,W,4,09,1.06,789.3,M,-6.9,M,,*54
19:53:19  $GNGGA,195319.00,2150.34400,S,04322.58629,W,1,09,1.06,789.3,M,-6.9,M,,*50
19:53:20  $GNGGA,195320.00,2150.34400,S,04322.58621,W,1,09,1.06,789.2,M,-6.9,M,,*53
19:53:21  $GNGGA,195321.00,2150.34397,S,04322.58618,W,3,09,1.06,789.3,M,-6.9,M,,*50
19:53:22  $GNGGA,195322.00,2150.34395,S,04322.58615,W,3,09,1.06,789.4,M,-6.9,M,,*5B
19:53:23  $GNGGA,195323.00,2150.34394,S,04322.58612,W,3,09,1.06,789.5,M,-6.9,M,,*5D
19:53:24  $GNGGA,195324.00,2150.34391,S,04322.58609,W,3,09,1.06,789.6,M,-6.9,M,,*56
19:53:25  $GNGGA,195325.00,2150.34390,S,04322.58609,W,2,09,1.06,789.6,M,-6.9,M,,*56
19:53:26  $GNGGA,195326.00,2150.34393,S,04322.58608,W,2,09,1.06,789.7,M,-6.9,M,,*56
19:53:27  $GNGGA,195327.00,2150.34394,S,04322.58611,W,2,09,1.06,789.6,M,-6.9,M,,*59
19:53:28  $GNGGA,195328.00,2150.34398,S,04322.58601,W,2,09,1.06,789.5,M,-6.9,M,,*58
19:53:29  $GNGGA,195329.00,2150.34395,S,04322.58606,W,1,09,1.06,789.4,M,-6.9,M,,*52
19:53:30  $GNGGA,195330.00,2150.34394,S,04322.58609,W,1,09,1.06,789.5,M,-6.9,M,,*55
19:53:31  $GNGGA,195331.00,2150.34392,S,04322.58612,W,1,09,1.06,789.4,M,-6.9,M,,*59
19:53:32  $GNGGA,195332.00,2150.34389,S,04322.58618,W,1,09,1.06,789.4,M,-6.9,M,,*5A
19:53:33  $GNGGA,195333.00,2150.34385,S,04322.58623,W,1,09,1.06,789.3,M,-6.9,M,,*58
19:53:34  $GNGGA,195334.00,2150.34376,S,04322.58644,W,1,09,1.06,789.1,M,-6.9,M,,*50
19:53:35  $GNGGA,195335.00,2150.34374,S,04322.58653,W,1,09,1.06,788.9,M,-6.9,M,,*5C
19:53:36  $GNGGA,195336.00,2150.34368,S,04322.58665,W,1,09,1.24,788.7,M,-6.9,M,,*59
19:53:37  $GNGGA,195337.00,2150.34365,S,04322.58673,W,1,09,1.24,788.5,M,-6.9,M,,*50
19:53:38  $GNGGA,195338.00,2150.34365,S,04322.58677,W,1,09,1.09,788.3,M,-6.9,M,,*52
19:53:39  $GNGGA,195339.00,2150.34363,S,04322.58677,W,1,10,1.04,788.1,M,-6.9,M,,*52
19:53:40  $GNGGA,195340.00,2150.34358,S,04322.58686,W,1,10,1.01,788.0,M,-6.9,M,,*5E
19:53:41  $GNGGA,195341.00,2150.34356,S,04322.58692,W,1,10,1.01,788.1,M,-6.9,M,,*55
19:53:42  $GNGGA,195342.00,2150.34358,S,04322.58692,W,1,10,1.01,788.0,M,-6.9,M,,*59
19:53:43  $GNGGA,195343.00,2150.34351,S,04322.58699,W,1,09,1.04,787.9,M,-6.9,M,,*51
19:53:44  $GNGGA,195344.00,2150.34340,S,04322.58710,W,1,10,1.01,788.0,M,-6.9,M,,*5D
19:53:45  $GNGGA,195345.00,2150.34336,S,04322.58712,W,1,10,1.01,788.0,M,-6.9,M,,*5F
19:53:46  $GNGGA,195346.00,2150.34337,S,04322.58707,W,4,10,1.01,788.1,M,-6.9,M,,*58
19:53:47  $GNGGA,195347.00,2150.34338,S,04322.58704,W,4,10,1.01,788.0,M,-6.9,M,,*54
19:53:48  $GNGGA,195348.00,2150.34342,S,04322.58697,W,4,10,1.01,788.1,M,-6.9,M,,*5C
19:53:49  $GNGGA,195349.00,2150.34351,S,04322.58685,W,4,10,1.01,788.1,M,-6.9,M,,*5C
19:53:50  $GNGGA,195350.00,2150.34356,S,04322.58672,W,4,10,1.01,788.2,M,-6.9,M,,*58
19:53:51  $GNGGA,195351.00,2150.34361,S,04322.58657,W,4,10,1.01,788.3,M,-6.9,M,,*5B
19:53:52  $GNGGA,195352.00,2150.34359,S,04322.58653,W,4,10,1.01,788.3,M,-6.9,M,,*57
19:53:53  $GNGGA,195353.00,2150.34363,S,04322.58640,W,4,10,1.01,788.3,M,-6.9,M,,*5D
19:53:54  $GNGGA,195354.00,2150.34366,S,04322.58628,W,4,10,1.01,788.4,M,-6.9,M,,*56
19:53:55  $GNGGA,195355.00,2150.34371,S,04322.58618,W,4,10,1.01,788.6,M,-6.9,M,,*50
19:53:56  $GNGGA,195356.00,2150.34371,S,04322.58621,W,4,10,1.16,788.7,M,-6.9,M,,*5E
